cc_01 ,cc_02,cc_03 ,cc_04 ,cc_05 ,cc_06 ,cc_07 ,cc_08 ,cc_09 ,cc_10 ,cc_11 ,cc_12 ,cc_13 ,cc_14 ,cc_15 ,cc_16 ,cc_17 ,cc_18 ,cc_19 ,cc_20 ,cc_21 ,cc_22 ,cc_23 ,cc_24 
0.749470651,0.539277315,0.315226257,0.194765687,0.172650963,0.159006462,0.656243742,0.651146889,0.649810553,0.681860685,0.694552302,0.521410882,0.602961481,0.649002552,0.57683444,0.51211524,0.589804828,0.635597944,0.308288634,0.644600511,0.479647279,0.296288311,0.680834889,0.720802903
0.750301242,0.539749444,0.315386117,0.194780931,0.172663629,0.159025595,0.657076657,0.651901543,0.650426984,0.682488382,0.695329666,0.521819949,0.603347182,0.649721563,0.577286243,0.512644708,0.590389609,0.636183679,0.308501214,0.645266235,0.480052114,0.296481937,0.681667507,0.721653223
0.751110256,0.540204704,0.315545857,0.194786683,0.172668979,0.15903464,0.657875121,0.652618766,0.651016533,0.683115542,0.696090162,0.522218406,0.603725255,0.650436521,0.577726007,0.513170063,0.590947211,0.636769772,0.308708191,0.645899355,0.480444193,0.296665579,0.682481229,0.722482085
0.751797199,0.540606201,0.31568712,0.194796473,0.17267023,0.159034505,0.658549428,0.653214633,0.651520848,0.683631003,0.696728647,0.522568107,0.604044557,0.651060402,0.578115821,0.51362437,0.591419756,0.637268424,0.308894575,0.646443069,0.480797082,0.296833247,0.683184147,0.72320354
0.752538741,0.541017056,0.315821856,0.194793478,0.172659799,0.159019753,0.659281671,0.653851151,0.652071357,0.684192717,0.697419286,0.522922039,0.604413092,0.651751816,0.578547895,0.514104903,0.591912925,0.637812674,0.309080809,0.647011101,0.481167704,0.296998739,0.683951437,0.723990023
0.752950668,0.541303217,0.315945506,0.194808796,0.172653556,0.159011692,0.659675002,0.654180288,0.652363181,0.684457958,0.697790682,0.523168385,0.604589343,0.652158141,0.578803182,0.514416635,0.592191815,0.638114214,0.309228539,0.647344649,0.48143065,0.297131538,0.684397042,0.724449098
0.753325403,0.541581571,0.316061497,0.194831446,0.17264396,0.158990204,0.660019219,0.654453516,0.652632296,0.684699595,0.698126793,0.523410797,0.604764581,0.652564883,0.579059422,0.514719009,0.592459679,0.638408601,0.309367031,0.647647142,0.481684536,0.297250479,0.684811234,0.724885523
0.753238618,0.541652024,0.316157192,0.194856152,0.172633946,0.158988521,0.659904301,0.654317379,0.652528048,0.684511125,0.698004901,0.52346909,0.604635417,0.652525246,0.579038918,0.514757335,0.592378855,0.638330936,0.309449911,0.647610486,0.481772661,0.297334701,0.68476963,0.724843621
0.752933681,0.541633308,0.31626001,0.194890738,0.172617182,0.158997729,0.659580648,0.653987825,0.652265251,0.684128165,0.697693765,0.523457527,0.604391396,0.652295887,0.578905344,0.514685333,0.592148721,0.638100863,0.309509814,0.647413075,0.481798559,0.297411174,0.684537232,0.724602938
0.752188325,0.541417062,0.316304713,0.194918588,0.172611773,0.159001574,0.658791125,0.653243959,0.651618779,0.683324277,0.696897686,0.523251057,0.603844285,0.65165782,0.578506529,0.514357805,0.591587842,0.637497902,0.309506685,0.646893084,0.481648475,0.297420263,0.683836102,0.723876536
0.751081347,0.541050494,0.316334963,0.194955051,0.172606558,0.159009278,0.657648146,0.652181745,0.650702655,0.682208061,0.69575423,0.522913039,0.603052199,0.650674522,0.57788533,0.513815463,0.590750754,0.636608005,0.309460968,0.646103144,0.48136875,0.297401935,0.682765663,0.722768664
0.749602139,0.540496767,0.316301644,0.194975257,0.172607675,0.15901956,0.656083524,0.650741756,0.649416983,0.680697024,0.694170654,0.52238822,0.602024019,0.649358332,0.577064037,0.51307565,0.589646757,0.635405242,0.309353322,0.645044506,0.480933636,0.297311783,0.681316614,0.721265435
0.747714639,0.539769173,0.316211581,0.194986641,0.172615543,0.159026146,0.654087007,0.648925722,0.647786975,0.678788483,0.692148745,0.521688819,0.600724697,0.647681117,0.576021671,0.512119532,0.58824867,0.633874118,0.309186667,0.643698692,0.480345696,0.297154456,0.679437339,0.719325304
0.745518446,0.538874626,0.316092819,0.1949981,0.172631949,0.159044281,0.651748657,0.646783352,0.645837784,0.676561415,0.689760208,0.520834148,0.599239826,0.645709455,0.574785233,0.510975361,0.586619318,0.632068813,0.308975071,0.642109811,0.47962749,0.296958476,0.67726177,0.717058539
0.742889583,0.537751079,0.315912694,0.194991708,0.172652349,0.159069717,0.648927867,0.644209385,0.643471837,0.673886299,0.686877131,0.519772351,0.597492039,0.643337965,0.573318005,0.509613156,0.584679186,0.629911661,0.308698952,0.640206814,0.478738427,0.296700686,0.674655139,0.714339197
0.740035594,0.536532938,0.31572035,0.194996506,0.172678664,0.159098789,0.645872355,0.641403377,0.640892386,0.670999348,0.683740795,0.518605888,0.595579565,0.640751421,0.571682096,0.508074224,0.58255595,0.627539754,0.308386475,0.638116717,0.477745414,0.296405941,0.6718207,0.711370647
0.73684752,0.535158277,0.315499842,0.195007861,0.17272383,0.159143686,0.642470777,0.638267338,0.637996316,0.667791903,0.680229425,0.517289698,0.593476236,0.637884974,0.569848597,0.50634414,0.580214262,0.624893546,0.308031023,0.635774672,0.476626515,0.296074241,0.668680251,0.708061457
0.733392835,0.533656299,0.315250069,0.195013791,0.172759652,0.159175903,0.638773739,0.634854376,0.634842157,0.664308786,0.676409841,0.515837371,0.591165543,0.634723663,0.567817211,0.504414797,0.577619076,0.621977806,0.307623714,0.633214176,0.47537154,0.29568091,0.665236354,0.704444706
0.729758084,0.532063663,0.314999849,0.195034489,0.172784612,0.159197614,0.634834468,0.631212294,0.631487787,0.660626173,0.672360599,0.514286876,0.588667035,0.631331921,0.565619469,0.502293229,0.574811161,0.618852735,0.307186902,0.630480826,0.474021882,0.295250922,0.661557257,0.700568199
0.725923359,0.530368924,0.314720631,0.195069477,0.17282638,0.15924418,0.630671978,0.627370238,0.627937496,0.65674746,0.668069184,0.5126279,0.586032927,0.627747834,0.563306034,0.500044942,0.571867049,0.615551472,0.306719184,0.627595127,0.472591311,0.294812739,0.657697082,0.69649452
